position,name,country
后卫,阿兹皮利奎塔(14号), 西班牙
门将,阿金费耶夫(1号), 俄罗斯
门将,加布洛夫(20号), 俄罗斯
后卫,伊格纳舍维奇(4号), 俄罗斯
后卫,马里奥·费尔南德斯(2号), 俄罗斯
后卫,格拉纳特(14号), 俄罗斯
后卫,金彭贝(3号), 法国
后卫,本杰明(2号), 法国
后卫,乌姆蒂蒂(5号), 法国
中场,博格巴(6号), 法国
后卫,汉扎德(13号), 伊朗
后卫,莫尔塔扎·普拉利甘吉(8号), 伊朗
后卫,礼萨扬(23号), 伊朗
后卫,切什米(4号), 伊朗
后卫,穆罕迈迪(5号), 伊朗
中场,奥米德(9号), 伊朗
中场,马苏德(7号), 伊朗
门将,卡塞达(12号), 秘鲁
后卫,埃约尔夫松(15号), 冰岛
后卫,马格努松(18号), 冰岛
中场,吉斯拉松(19号), 冰岛
中场,比亚尔纳松(8号), 冰岛
中场,哈尔弗雷兹松(20号), 冰岛
中场,斯库拉松(16号), 冰岛
门将,阿尔玛尼(12号), 阿根廷
门将,卡巴列罗(23号), 阿根廷
后卫,马斯切拉诺(14号), 阿根廷
后卫,梅尔卡多(2号), 阿根廷
后卫,塔利亚菲科(3号), 阿根廷
中场,尤尼斯(10号), 摩洛哥
中场,艾特本纳赛尔(15号), 摩洛哥
中场,哈里特(18号), 摩洛哥
前锋,恩内斯里(19号), 摩洛哥
前锋,阿尤布(9号), 摩洛哥
前锋,哈立德(13号), 摩洛哥
后卫,阿尔巴(18号), 西班牙
后卫,奥德里奥索拉(12号), 西班牙
后卫,纳乔(4号), 西班牙
后卫,皮克(3号), 西班牙
中场,伊斯科(22号), 西班牙
中场,萨乌尔(7号), 西班牙
中场,伊涅斯塔(6号), 西班牙
中场,阿森西奥(20号), 西班牙
后卫,库德里亚绍夫(13号), 俄罗斯
后卫,斯莫尔尼科夫(23号), 俄罗斯
后卫,谢苗诺夫(5号), 俄罗斯
后卫,库捷波夫(3号), 俄罗斯
中场,加津斯基(8号), 俄罗斯
中场,日尔科夫(18号), 俄罗斯
中场,萨梅多夫(19号), 俄罗斯
中场,坎特(13号), 法国
中场,托里索(12号), 法国
中场,恩宗济(15号), 法国
中场,马图伊迪(14号), 法国
前锋,托万(20号), 法国
中场,阿法(6号), 伊朗
中场,阿米里(11号), 伊朗
中场,托拉比(2号), 伊朗
前锋,卡里姆(10号), 伊朗
前锋,阿兹蒙(20号), 伊朗
前锋,古钱内贾德(16号), 伊朗
前锋,贾汉巴赫什(18号), 伊朗
门将,加莱塞(1号), 秘鲁
门将,卡瓦略(21号), 秘鲁
后卫,罗德里格斯(2号), 秘鲁
后卫,阿德文库拉(17号), 秘鲁
后卫,特劳科(6号), 秘鲁
中场,古德蒙德森(4号), 冰岛
中场,古恩纳尔松(17号), 冰岛
中场,弗里德约森(3号), 冰岛
中场,西于尔兹松(10号), 冰岛
中场,格维兹门松(7号), 冰岛
中场,特勒伊斯塔松(21号), 冰岛
前锋,西古达森(9号), 冰岛
后卫,法齐奥(6号), 阿根廷
后卫,安萨尔迪(4号), 阿根廷
后卫,罗霍(16号), 阿根廷
后卫,萨尔维奥(18号), 阿根廷
前锋,布哈杜兹(20号), 摩洛哥
中场,布斯克茨(5号), 西班牙
中场,蒂亚戈(10号), 西班牙
中场,科克(8号), 西班牙
前锋,席尔瓦(21号), 西班牙
前锋,阿斯帕斯(17号), 西班牙
中场,佐布宁(11号), 俄罗斯
中场,切里舍夫(6号), 俄罗斯
中场,戈洛温(17号), 俄罗斯
中场,阿列克谢·米兰丘克(15号), 俄罗斯
中场,库贾耶夫(7号), 俄罗斯
前锋,勒马尔(8号), 法国
前锋,费基尔(18号), 法国
前锋,登贝莱(11号), 法国
前锋,吉鲁(9号), 法国
前锋,姆巴佩(10号), 法国
前锋,格列兹曼(7号), 法国
前锋,塔雷米(17号), 伊朗
前锋,德贾加(21号), 伊朗
前锋,戈多斯(14号), 伊朗
后卫,圣玛利亚(4号), 秘鲁
后卫,阿劳霍(5号), 秘鲁
后卫,科尔索(3号), 秘鲁
后卫,拉莫斯(15号), 秘鲁
后卫,洛约拉(22号), 秘鲁
中场,霍尔塔斯(7号), 秘鲁
前锋,芬博加松(11号), 冰岛
前锋,伯兹瓦尔松(22号), 冰岛
后卫,阿库尼亚(8号), 阿根廷
后卫,奥塔门迪(17号), 阿根廷
中场,比利亚(5号), 阿根廷
中场,兰基尼(15号), 阿根廷
中场,迪马利亚(11号), 阿根廷
中场,巴内加(7号), 阿根廷
前锋,科斯塔(19号), 西班牙
前锋,巴斯克斯(11号), 西班牙
前锋,罗德里戈(9号), 西班牙
中场,安东·米兰丘克(16号), 俄罗斯
中场,扎戈耶夫(9号), 俄罗斯
中场,叶罗欣(21号), 俄罗斯
前锋,久巴(22号), 俄罗斯
前锋,斯莫洛夫(10号), 俄罗斯
中场,波洛(14号), 秘鲁
中场,阿基诺(23号), 秘鲁
中场,塔皮亚(13号), 秘鲁
中场,卡塔格纳(16号), 秘鲁
中场,约顿(19号), 秘鲁
中场,梅萨(13号), 阿根廷
中场,帕文(22号), 阿根廷
中场,洛塞尔索(20号), 阿根廷
前锋,梅西(10号), 阿根廷
前锋,阿奎罗(19号), 阿根廷
中场,奎瓦(8号), 秘鲁
前锋,鲁伊迪亚斯(11号), 秘鲁
前锋,卡里略(18号), 秘鲁
前锋,弗洛雷斯(20号), 秘鲁
前锋,法尔范(10号), 秘鲁
前锋,伊瓜因(9号), 阿根廷
前锋,迪巴拉(21号), 阿根廷
前锋,格雷罗(9号), 秘鲁
门将,巴尔加斯(12号), 哥伦比亚
门将,奥斯皮纳(1号), 哥伦比亚
门将,库阿德拉多(22号), 哥伦比亚
后卫,穆里略(3号), 哥伦比亚
后卫,萨帕塔(2号), 哥伦比亚
后卫,阿里亚斯(4号), 哥伦比亚
后卫,法布拉(18号), 哥伦比亚
后卫,莫希卡(17号), 哥伦比亚
后卫,米纳(13号), 哥伦比亚
后卫,D·桑切斯(23号), 哥伦比亚
中场,J罗(10号), 哥伦比亚
中场,阿吉拉尔(8号), 哥伦比亚
中场,金特罗(20号), 哥伦比亚
中场,乌里韦(15号), 哥伦比亚
中场,桑切斯(6号), 哥伦比亚
中场,巴里奥斯(5号), 哥伦比亚
中场,莱尔马(16号), 哥伦比亚
中场,夸德拉多(11号), 哥伦比亚
前锋,巴卡(7号), 哥伦比亚
前锋,穆列尔(14号), 哥伦比亚
前锋,法尔考(9号), 哥伦比亚
前锋,博尔哈(19号), 哥伦比亚
前锋,伊斯基耶多(21号), 哥伦比亚
门将,奥韦斯(22号), 沙特
门将,马尤夫(1号), 沙特
门将,莫萨利姆(21号), 沙特
后卫,布莱希(4号), 沙特
后卫,亚西尔·沙赫拉尼(13号), 沙特
后卫,豪萨维(23号), 沙特
后卫,哈尔比(2号), 沙特
后卫,奥萨马·豪萨维(5号), 沙特
后卫,奥萨马·豪萨维(3号), 沙特
后卫,布赖克(6号), 沙特
中场,谢赫里(8号), 沙特
中场,海巴里(15号), 沙特
中场,法拉杰(7号), 沙特
中场,萨利姆·杜萨里(18号), 沙特
中场,奥泰夫(14号), 沙特
中场,阿卜杜勒马利克·海布里(11号), 沙特
中场,贾西姆(17号), 沙特
中场,莫加赫维(16号), 沙特
中场,巴赫布里(9号), 沙特
中场,坎诺(12号), 沙特
前锋,萨赫拉维(10号), 沙特
前锋,阿西里(20号), 沙特
前锋,法赫德·穆瓦拉德(19号), 沙特
门将,坎帕尼亚(12号), 乌拉圭
门将,穆斯莱拉(1号), 乌拉圭
门将,席尔瓦(23号), 乌拉圭
后卫,戈丁(3号), 乌拉圭
后卫,席尔瓦(13号), 乌拉圭
后卫,佩雷拉(16号), 乌拉圭
后卫,卡塞雷斯(22号), 乌拉圭
门将,帕特里西奥(1号), 葡萄牙
门将,迪亚洛(1号), 塞内加尔
后卫,巴雷拉(4号), 乌拉圭
后卫,希门尼斯(2号), 乌拉圭
后卫,科茨(19号), 乌拉圭
中场,贝西诺(15号), 乌拉圭
中场,拉克索尔特(17号), 乌拉圭
中场,南德斯(8号), 乌拉圭
门将,贝托(22号), 葡萄牙
门将,安东尼·洛佩斯(12号), 葡萄牙
后卫,布鲁诺·阿尔维斯(2号), 葡萄牙
后卫,里卡多(15号), 葡萄牙
后卫,拉斐尔·盖雷罗(5号), 葡萄牙
后卫,冯特(6号), 葡萄牙
后卫,鲁本·迪亚斯(13号), 葡萄牙
门将,戈米斯(23号), 塞内加尔
门将,恩迪亚耶(16号), 塞内加尔
后卫,卡拉(4号), 塞内加尔
后卫,萨巴利(12号), 塞内加尔
后卫,西斯(2号), 塞内加尔
后卫,库利巴利(3号), 塞内加尔
中场,卢卡斯(14号), 乌拉圭
中场,桑切斯(5号), 乌拉圭
中场,本坦库尔(6号), 乌拉圭
中场,罗德里格斯(7号), 乌拉圭
前锋,苏亚雷斯(9号), 乌拉圭
门将,埃克拉米(16号), 埃及
后卫,塞德里克(21号), 葡萄牙
后卫,佩佩(3号), 葡萄牙
后卫,马里奥·鲁伊(19号), 葡萄牙
中场,费尔南德斯(4号), 葡萄牙
中场,卡瓦略(14号), 葡萄牙
后卫,加萨马(21号), 塞内加尔
后卫,瓦格(22号), 塞内加尔
中场,盖伊(5号), 塞内加尔
中场,萨利夫·萨内(6号), 塞内加尔
中场,帕帕阿利乌内·恩迪亚耶(17号), 塞内加尔
前锋,卡瓦尼(21号), 乌拉圭
前锋,斯图亚尼(11号), 乌拉圭
前锋,德阿拉斯凯塔(10号), 乌拉圭
前锋,乌雷塔(20号), 乌拉圭
前锋,戈麦斯(18号), 乌拉圭
门将,希纳维(23号), 埃及
门将,哈达里(1号), 埃及
后卫,阿卜杜勒-沙菲(13号), 埃及
后卫,马哈茂德·哈姆迪(15号), 埃及
后卫,法特希(7号), 埃及
中场,费尔南德斯(16号), 葡萄牙
中场,席尔瓦(23号), 葡萄牙
中场,贝纳多·席尔瓦(11号), 葡萄牙
中场,穆蒂尼奥(8号), 葡萄牙
中场,若奥-马里奥(10号), 葡萄牙
中场,A·恩迪亚耶(13号), 塞内加尔
中场,恩多耶(11号), 塞内加尔
中场,库亚特(8号), 塞内加尔
前锋,萨尔(18号), 塞内加尔
前锋,尼昂(19号), 塞内加尔
后卫,阿什拉夫(12号), 埃及
后卫,赫加齐(6号), 埃及
后卫,萨米尔(20号), 埃及
后卫,埃尔穆罕默迪(3号), 埃及
后卫,贾布尔(2号), 埃及
中场,穆尔西(5号), 埃及
前锋,席尔瓦(9号), 葡萄牙
前锋,冈萨洛·格德斯(17号), 葡萄牙
前锋,热尔松·马丁斯(18号), 葡萄牙
前锋,里卡多·夸雷斯马(20号), 葡萄牙
前锋,C·罗(7号), 葡萄牙
前锋,科纳特(14号), 塞内加尔
前锋,马内(10号), 塞内加尔
前锋,马姆·迪乌夫(9号), 塞内加尔
前锋,凯塔·巴尔德(20号), 塞内加尔
前锋,穆萨·索乌(7号), 塞内加尔
前锋,D·萨科(15号), 塞内加尔
中场,埃尔耐尼(17号), 埃及
中场,贾贝尔(4号), 埃及
中场,赛义德(19号), 埃及
中场,特雷泽盖(21号), 埃及
中场,哈米德(8号), 埃及
前锋,苏卜希(14号), 埃及
前锋,希卡巴拉(18号), 埃及
前锋,萨拉赫(10号), 埃及
前锋,穆赫辛(9号), 埃及
前锋,卡赫拉巴(11号), 埃及
前锋,瓦尔达(22号), 埃及
门将,本穆斯塔法(1号), 突尼斯
门将,哈桑(22号), 突尼斯
门将,巴尔鲍利(16号), 突尼斯
后卫,布龙(11号), 突尼斯
后卫,纳格斯(21号), 突尼斯
后卫,哈达迪(5号), 突尼斯
后卫,梅里亚(4号), 突尼斯
后卫,本优素福(2号), 突尼斯
后卫,贝纳卢安(3号), 突尼斯
后卫,贝多伊(6号), 突尼斯
后卫,马鲁尔(12号), 突尼斯
中场,本阿莫尔(14号), 突尼斯
中场,巴德里(9号), 突尼斯
中场,萨西(13号), 突尼斯
中场,斯希里(17号), 突尼斯
前锋,哈利勒(15号), 突尼斯
前锋,斯拉尔菲(18号), 突尼斯
前锋,查拉利(20号), 突尼斯
前锋,赫利法(19号), 突尼斯
前锋,斯利蒂(23号), 突尼斯
前锋,本优素夫(8号), 突尼斯
前锋,哈奥(7号), 突尼斯
前锋,哈兹里(10号), 突尼斯
门将,中村航辅(23号), 日本
门将,川岛永嗣(1号), 日本
门将,东口顺昭(12号), 日本
后卫,远藤航(6号), 日本
后卫,昌子源(3号), 日本
后卫,植田直通(2号), 日本
后卫,吉田麻也(22号), 日本
后卫,槙野智章(20号), 日本
后卫,长友佑都(5号), 日本
后卫,酒井宏树(19号), 日本
后卫,酒井高德(21号), 日本
中场,山口萤(16号), 日本
中场,大岛僚太(18号), 日本
中场,柴崎岳(7号), 日本
中场,本田圭佑(4号), 日本
中场,长谷部诚(17号), 日本
中场,乾贵士(14号), 日本
中场,香川真司(10号), 日本
中场,原口元气(8号), 日本
中场,宇佐美贵史(11号), 日本
前锋,冈崎慎司(9号), 日本
前锋,武藤嘉纪(13号), 日本
前锋,大迫勇也(15号), 日本
门将,比亚尔科夫斯基(12号), 波兰
门将,法比安斯基(22号), 波兰
门将,什琴斯尼(1号), 波兰
后卫,贝雷申斯基(18号), 波兰
后卫,皮什切克(20号), 波兰
后卫,贝德纳雷克(5号), 波兰
后卫,帕兹丹(2号), 波兰
门将,皮克福德(1号), 英格兰
后卫,乔内克(4号), 波兰
后卫,格利克(15号), 波兰
后卫,延杰伊奇克(3号), 波兰
中场,杰林斯基(19号), 波兰
中场,戈拉尔斯基(6号), 波兰
门将,波佩(23号), 英格兰
门将,巴特兰(13号), 英格兰
后卫,杨(18号), 英格兰
后卫,马格雷(6号), 英格兰
后卫,斯通斯(5号), 英格兰
后卫,罗斯(3号), 英格兰
中场,库巴(16号), 波兰
中场,利内蒂(8号), 波兰
中场,格罗西茨基(11号), 波兰
中场,库尔扎瓦(21号), 波兰
中场,佩什科(17号), 波兰
中场,雷布斯(13号), 波兰
后卫,德尔菲(17号), 英格兰
后卫,沃克(2号), 英格兰
后卫,特里皮尔(12号), 英格兰
后卫,阿诺德(22号), 英格兰
后卫,琼斯(16号), 英格兰
后卫,卡希尔(15号), 英格兰
中场,戴尔(4号), 英格兰
中场,克里霍维亚克(10号), 波兰
前锋,特奥多切克(14号), 波兰
前锋,米利克(7号), 波兰
前锋,科夫纳茨基(23号), 波兰
前锋,莱万多夫斯基(9号), 波兰
中场,阿里(20号), 英格兰
中场,林加德(7号), 英格兰
中场,奇克(21号), 英格兰
中场,亨德森(8号), 英格兰
前锋,凯恩(9号), 英格兰
前锋,斯特林(10号), 英格兰
前锋,瓦尔迪(11号), 英格兰
前锋,维尔贝克(14号), 英格兰
前锋,拉什福德(19号), 英格兰
门将,米尼奥莱(12号), 比利时
门将,卡斯特尔斯(13号), 比利时
门将,库尔图瓦(1号), 比利时
后卫,博亚塔(20号), 比利时
后卫,默尼耶(15号), 比利时
后卫,费尔通亨(5号), 比利时
后卫,当东克尔(23号), 比利时
后卫,维尔马伦(3号), 比利时
门将,诺德菲尔特(23号), 瑞典
门将,佩内多(1号), 巴拿马
后卫,阿尔德韦雷尔德(2号), 比利时
后卫,孔帕尼(4号), 比利时
后卫,希曼(4号), 比利时
中场,卡拉斯科(11号), 比利时
中场,费莱尼(8号), 比利时
中场,沙德利(22号), 比利时
门将,奥尔森(1号), 瑞典
门将,约翰森(12号), 瑞典
后卫,卢斯蒂格(2号), 瑞典
后卫,奥古斯丁森(6号), 瑞典
后卫,林德洛夫(3号), 瑞典
后卫,格拉菲斯(16号), 瑞典
门将,卡尔德龙(12号), 巴拿马
门将,罗德里格斯(22号), 巴拿马
后卫,巴洛伊(23号), 巴拿马
后卫,托雷斯(5号), 巴拿马
后卫,马查多(13号), 巴拿马
中场,蒂耶勒曼(17号), 比利时
中场,维特塞尔(6号), 比利时
中场,德布劳内(7号), 比利时
后卫,菲利普(14号), 瑞典
后卫,奥尔森(5号), 瑞典
后卫,扬森(18号), 瑞典
后卫,格兰奎斯特(4号), 瑞典
中场,希列马克(15号), 瑞典
后卫,库明斯(3号), 巴拿马
后卫,达维斯(15号), 巴拿马
后卫,奥巴勒(17号), 巴拿马
后卫,穆里略(2号), 巴拿马
中场,小阿扎尔(16号), 比利时
中场,登贝莱(19号), 比利时
前锋,巴楚瓦伊(21号), 比利时
前锋,阿扎尔(10号), 比利时
前锋,默滕斯(14号), 比利时
中场,克莱森(17号), 瑞典
中场,斯文森(13号), 瑞典
中场,罗登(19号), 瑞典
中场,埃克达尔(8号), 瑞典
中场,杜尔马兹(21号), 瑞典
中场,福斯伯格(10号), 瑞典
中场,拉尔森(7号), 瑞典
后卫,埃斯科瓦尔(4号), 巴拿马
中场,罗德里格斯(21号), 巴拿马
中场,戈麦斯(6号), 巴拿马
中场,库珀(11号), 巴拿马
中场,戈多伊(20号), 巴拿马
中场,巴塞纳斯(8号), 巴拿马
前锋,亚努扎伊(18号), 比利时
前锋,卢卡库(9号), 比利时
前锋,基斯特林(22号), 瑞典
前锋,圭德蒂(11号), 瑞典
前锋,贝里(9号), 瑞典
前锋,托伊沃宁(20号), 瑞典
中场,金特罗(19号), 巴拿马
中场,皮蒙特尔(14号), 巴拿马
前锋,特哈达(18号), 巴拿马
前锋,托雷斯(9号), 巴拿马
前锋,迪亚斯(10号), 巴拿马
前锋,阿罗约(16号), 巴拿马
前锋,佩雷斯(7号), 巴拿马
门将,科罗纳(1号), 墨西哥
门将,奥乔亚(13号), 墨西哥
门将,塔拉贝拉(12号), 墨西哥
后卫,阿尔瓦雷斯(21号), 墨西哥
后卫,雷耶斯(5号), 墨西哥
后卫,埃雷拉(16号), 墨西哥
后卫,萨尔塞多(3号), 墨西哥
后卫,莫雷诺(15号), 墨西哥
后卫,阿亚拉(2号), 墨西哥
后卫,马克斯(4号), 墨西哥
中场,阿基诺(20号), 墨西哥
中场,科罗纳(17号), 墨西哥
中场,瓜尔达多(18号), 墨西哥
中场,多斯桑托斯(10号), 墨西哥
中场,加拉尔多(23号), 墨西哥
中场,拉云(7号), 墨西哥
中场,多斯桑托斯(6号), 墨西哥
前锋,希门尼斯(9号), 墨西哥
前锋,贝拉(11号), 墨西哥
前锋,埃尔南德斯(14号), 墨西哥
前锋,洛萨诺(22号), 墨西哥
前锋,法比安(8号), 墨西哥
前锋,佩拉尔塔(19号), 墨西哥
门将,特拉普(12号), 德国
门将,特尔施特根(22号), 德国
门将,诺伊尔(1号), 德国
后卫,普拉滕哈特(2号), 德国
后卫,赫克托(3号), 德国
后卫,金特尔(4号), 德国
后卫,吕迪格(16号), 德国
后卫,胡梅尔斯(5号), 德国
门将,金承奎(1号), 韩国
后卫,舒勒(15号), 德国
后卫,博阿滕(17号), 德国
后卫,基米希(18号), 德国
中场,德拉克斯勒(7号), 德国
门将,金镇铉(21号), 韩国
门将,赵贤祐(23号), 韩国
后卫,金英权(19号), 韩国
后卫,吴半石(4号), 韩国
后卫,金民友(12号), 韩国
后卫,尹英善(5号), 韩国
中场,厄齐尔(10号), 德国
中场,格雷茨卡(14号), 德国
中场,朱利安(20号), 德国
中场,克罗斯(8号), 德国
中场,穆勒(13号), 德国
后卫,洪哲(14号), 韩国
后卫,张贤秀(20号), 韩国
后卫,李勇(2号), 韩国
后卫,高尧韩(22号), 韩国
后卫,朴柱昊(6号), 韩国
后卫,郑升炫(3号), 韩国
中场,具滋哲(13号), 韩国
中场,鲁迪(19号), 德国
中场,京多安(21号), 德国
中场,赫迪拉(6号), 德国
前锋,沃纳(9号), 德国
前锋,罗伊斯(11号), 德国
前锋,戈麦斯(23号), 德国
中场,郑又荣(15号), 韩国
中场,文世民(18号), 韩国
中场,寄诚庸(16号), 韩国
中场,李宰成(17号), 韩国
中场,李昇祐(10号), 韩国
中场,朱世钟(8号), 韩国
前锋,孙兴慜(7号), 韩国
前锋,金信旭(9号), 韩国
前锋,黄喜灿(11号), 韩国
门将,斯托伊科维奇(1号), 塞尔维亚
门将,拉伊科维奇(12号), 塞尔维亚
门将,德米特罗维奇(23号), 塞尔维亚
后卫,斯帕伊奇(5号), 塞尔维亚
后卫,托希奇(3号), 塞尔维亚
后卫,韦利科维奇(13号), 塞尔维亚
后卫,伊万诺维奇(6号), 塞尔维亚
后卫,鲁卡维纳(2号), 塞尔维亚
后卫,科拉罗夫(11号), 塞尔维亚
后卫,罗迪奇(14号), 塞尔维亚
后卫,米伦科维奇(15号), 塞尔维亚
中场,科斯蒂奇(17号), 塞尔维亚
中场,日夫科维奇(7号), 塞尔维亚
中场,格鲁伊奇(16号), 塞尔维亚
中场,米林科维奇(20号), 塞尔维亚
中场,塔迪奇(10号), 塞尔维亚
中场,利亚伊奇(22号), 塞尔维亚
中场,马蒂奇(21号), 塞尔维亚
中场,米利沃耶维奇(4号), 塞尔维亚
前锋,米特洛维奇(9号), 塞尔维亚
前锋,拉多尼奇(18号), 塞尔维亚
前锋,约维奇(19号), 塞尔维亚
前锋,普里约维奇(8号), 塞尔维亚
门将,姆沃戈(12号), 瑞士
门将,佐默(1号), 瑞士
门将,比尔基(21号), 瑞士
后卫,舍尔(22号), 瑞士
后卫,穆邦杰(3号), 瑞士
后卫,米夏埃尔·朗(6号), 瑞士
后卫,埃尔韦迪(4号), 瑞士
门将,乌佐霍(23号), 尼日利亚
门将,莫雷拉(23号), 哥斯达黎加
后卫,阿坎吉(5号), 瑞士
后卫,利希施泰纳(2号), 瑞士
后卫,朱鲁(20号), 瑞士
后卫,R·罗德里格斯(13号), 瑞士
中场,弗鲁勒(8号), 瑞士
中场,贝赫拉米(11号), 瑞士
中场,G·扎卡(10号), 瑞士
门将,阿克佩伊(16号), 尼日利亚
门将,埃岑瓦(1号), 尼日利亚
后卫,伊多武(2号), 尼日利亚
后卫,奥梅鲁奥(22号), 尼日利亚
门将,佩姆伯顿(18号), 哥斯达黎加
门将,纳瓦斯(1号), 哥斯达黎加
后卫,奥维多(8号), 哥斯达黎加
后卫,G·冈萨雷斯(3号), 哥斯达黎加
后卫,甘博亚(16号), 哥斯达黎加
中场,G·费尔南德斯(16号), 瑞士
中场,楚伯(14号), 瑞士
中场,泽马伊利(15号), 瑞士
中场,沙奇里(23号), 瑞士
中场,扎卡里亚(17号), 瑞士
后卫,埃德尔森(3号), 尼日利亚
后卫,谢胡(12号), 尼日利亚
后卫,特鲁斯特·埃康(5号), 尼日利亚
后卫,巴洛贡(6号), 尼日利亚
后卫,埃布埃希(21号), 尼日利亚
后卫,阿科斯塔(2号), 哥斯达黎加
后卫,卡尔沃(15号), 哥斯达黎加
后卫,杜阿尔特(6号), 哥斯达黎加
后卫,沃斯顿(19号), 哥斯达黎加
后卫,马塔里塔(22号), 哥斯达黎加
后卫,史密斯(4号), 哥斯达黎加
中场,博拉诺斯(7号), 哥斯达黎加
前锋,德尔米奇(19号), 瑞士
前锋,恩博洛(7号), 瑞士
前锋,加夫兰诺维奇(18号), 瑞士
前锋,塞费罗维奇(9号), 瑞士
后卫,阿瓦泽姆(20号), 尼日利亚
中场,奥纳齐(17号), 尼日利亚
中场,奥戈楚克乌(19号), 尼日利亚
中场,米克尔(10号), 尼日利亚
中场,奥比(15号), 尼日利亚
中场,恩迪迪(4号), 尼日利亚
中场,古斯曼(20号), 哥斯达黎加
中场,阿佐菲法(14号), 哥斯达黎加
中场,特赫达(17号), 哥斯达黎加
中场,鲁伊斯(10号), 哥斯达黎加
中场,科林德雷斯(9号), 哥斯达黎加
中场,华莱士(13号), 哥斯达黎加
中场,奥格内卡罗(8号), 尼日利亚
中场,博格斯(5号), 哥斯达黎加
前锋,乌雷尼亚(21号), 哥斯达黎加
前锋,乔尔·坎贝尔(12号), 哥斯达黎加
前锋,贝内加斯(11号), 哥斯达黎加
前锋,穆萨(7号), 尼日利亚
前锋,西米(13号), 尼日利亚
前锋,伊哈洛(9号), 尼日利亚
前锋,摩西(11号), 尼日利亚
前锋,伊沃比(18号), 尼日利亚
前锋,伊希纳乔(14号), 尼日利亚
门将,埃里森(1号), 巴西
