average_time,weiht,appearances_counts,height,assist_num,num,goal_num,birth,appearance_time,name,img,is_star,team,position
90,77kg,1,1.72m,0,8号,0,1991/10/28,90,阿库尼亚,http://p1.img.cctvpic.com/sports/data/playerImageB/578560.png,0,阿根廷,后卫
90,81kg,3,1.81m,0,2号,1,1987/3/18,270,梅尔卡多,http://p1.img.cctvpic.com/sports/data/playerImageB/128376.png,0,阿根廷,后卫
90,73kg,4,1.74m,0,14号,0,1984/6/8,360,马斯切拉诺,http://p1.img.cctvpic.com/sports/data/playerImageB/11378.png,0,阿根廷,后卫
90,80kg,2,1.86m,0,23号,0,1981/9/28,180,卡巴列罗,http://p1.img.cctvpic.com/sports/data/playerImageB/52741.png,0,阿根廷,守门员
0,90kg,0,1.92m,0,1号,0,1986/2/10,0,古兹曼,http://p1.img.cctvpic.com/sports/data/playerImageB/106382.png,0,阿根廷,守门员
90,85kg,2,1.89m,0,12号,0,1986/10/16,180,阿尔玛尼,http://p1.img.cctvpic.com/sports/data/playerImageB/221140.png,0,阿根廷,守门员
90,72公斤,4,1.7米,2,10号,1,1987年6月24日,360,梅西,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/5/23/1527043278217_70.jpg,1,阿根廷,前锋
44.5,74公斤,4,1.72米,0,19号,2,1988年6月2日,178,阿奎罗,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527839142888_868.jpg,1,阿根廷,前锋
14.67,76kg,3,1.82m,0,11号,0,1994/4/13,44,卡赫拉巴,http://p1.img.cctvpic.com/sports/data/playerImageB/333439.png,0,埃及,前锋
69.67,81kg,3,1.85m,0,9号,0,1989/2/26,209,穆赫辛,http://p1.img.cctvpic.com/sports/data/playerImageB/243915.png,0,埃及,前锋
51,77kg,3,1.79m,0,22号,0,1993/9/17,153,瓦尔达,http://p1.img.cctvpic.com/sports/data/playerImageB/885102.png,0,埃及,前锋
0,80kg,0,1.83m,0,18号,0,1986/3/5,0,希卡巴拉,http://p1.img.cctvpic.com/sports/data/playerImageB/105394.png,0,埃及,前锋
18.67,77kg,3,1.83m,0,14号,0,1997/1/23,56,苏卜希,http://p1.img.cctvpic.com/sports/data/playerImageB/1010937.png,0,埃及,前锋
79.67,77kg,3,1.81m,0,21号,0,1994/10/1,239,特雷泽盖,http://p1.img.cctvpic.com/sports/data/playerImageB/295361.png,0,埃及,中场
76.67,67kg,3,1.69m,0,8号,0,1988/10/24,230,哈米德,http://p1.img.cctvpic.com/sports/data/playerImageB/560168.png,0,埃及,中场
75,75kg,3,1.76m,1,19号,0,1985/7/13,225,赛义德,http://p1.img.cctvpic.com/sports/data/playerImageB/198472.png,0,埃及,中场
0,71kg,0,1.75m,0,4号,0,1992/1/30,0,贾贝尔,http://p1.img.cctvpic.com/sports/data/playerImageB/159677.png,0,埃及,中场
40,75kg,1,1.73m,0,5号,0,1991/9/10,40,穆尔西,http://p1.img.cctvpic.com/sports/data/playerImageB/108515.png,0,埃及,中场
81.33,74kg,3,1.81m,0,17号,0,1992/7/11,244,埃尔耐尼,http://p1.img.cctvpic.com/sports/data/playerImageB/159675.png,0,埃及,中场
90,88kg,3,1.91m,0,2号,0,1989/1/1,270,贾布尔,http://p1.img.cctvpic.com/sports/data/playerImageB/560164.png,0,埃及,后卫
90,95kg,3,1.94m,0,6号,0,1991/1/25,270,赫加齐,http://p1.img.cctvpic.com/sports/data/playerImageB/159653.png,0,埃及,后卫
90,76kg,3,1.76m,0,7号,0,1984/11/10,270,法特希,http://p1.img.cctvpic.com/sports/data/playerImageB/14407.png,0,埃及,后卫
0,72kg,0,1.73m,0,15号,0,1995/6/1,0,马哈茂德·哈姆迪,http://p1.img.cctvpic.com/sports/data/playerImageB/1404523.png,0,埃及,后卫
0,76kg,0,1.83m,0,3号,0,1987/9/9,0,埃尔穆罕默迪,http://p1.img.cctvpic.com/sports/data/playerImageB/32787.png,0,埃及,后卫
0,82kg,0,1.83m,0,20号,0,1989/4/1,0,萨米尔,http://p1.img.cctvpic.com/sports/data/playerImageB/244359.png,0,埃及,后卫
0,73kg,0,1.76m,0,12号,0,1991/4/9,0,阿什拉夫,http://p1.img.cctvpic.com/sports/data/playerImageB/159647.png,0,埃及,后卫
90,72kg,3,1.71m,0,13号,0,1985/7/1,270,阿卜杜勒-沙菲,http://p1.img.cctvpic.com/sports/data/playerImageB/105407.png,0,埃及,后卫
90,90kg,1,1.9m,0,1号,0,1973/1/15,90,哈达里,http://p1.img.cctvpic.com/sports/data/playerImageB/14397.png,0,埃及,守门员
90,86kg,2,1.91m,0,23号,0,1988/12/18,180,希纳维,http://p1.img.cctvpic.com/sports/data/playerImageB/1426753.png,0,埃及,守门员
0,93kg,0,1.93m,0,16号,0,1983/7/10,0,埃克拉米,http://p1.img.cctvpic.com/sports/data/playerImageB/10085.png,0,埃及,守门员
90,71公斤,2,1.75米,0,10号,2,1992年6月15日,180,萨拉赫,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527838592423_555.jpg,1,埃及,前锋
0,72kg,0,1.78m,0,14号,0,1993/7/29,0,杰米·麦克拉伦,http://p1.img.cctvpic.com/sports/data/playerImageB/333143.png,0,澳大利亚,前锋
20,73kg,3,1.71m,0,17号,0,1999/1/4,60,丹尼尔·阿尔扎尼,http://p1.img.cctvpic.com/sports/data/playerImageB/772889.png,0,澳大利亚,前锋
70,66kg,3,1.8m,0,10号,0,1988/10/5,210,克鲁泽,http://p1.img.cctvpic.com/sports/data/playerImageB/24743.png,0,澳大利亚,前锋
69.5,85kg,2,1.78m,0,11号,0,1992/12/17,139,安德鲁·阿尔伯特,http://p1.img.cctvpic.com/sports/data/playerImageB/283069.png,0,澳大利亚,前锋
0,72kg,0,1.76m,0,21号,0,1992/11/10,0,佩特拉托斯,http://p1.img.cctvpic.com/sports/data/playerImageB/139782.png,0,澳大利亚,前锋
31.33,80kg,3,1.9m,0,9号,0,1991/7/22,94,尤里奇,http://p1.img.cctvpic.com/sports/data/playerImageB/127712.png,0,澳大利亚,前锋
90,84kg,3,1.81m,0,7号,0,1991/2/4,270,莱基,http://p1.img.cctvpic.com/sports/data/playerImageB/122570.png,0,澳大利亚,前锋
75.33,80kg,3,1.89m,0,23号,0,1992/12/16,226,汤姆·罗吉奇,http://p1.img.cctvpic.com/sports/data/playerImageB/277463.png,0,澳大利亚,中场
37,76kg,1,1.8m,0,4号,0,1979/12/6,37,卡希尔,http://p1.img.cctvpic.com/sports/data/playerImageB/1158.png,0,澳大利亚,前锋
90,78kg,3,1.88m,0,15号,2,1984/8/3,270,耶迪纳克,http://p1.img.cctvpic.com/sports/data/playerImageB/24685.png,0,澳大利亚,中场
90,72kg,3,1.73m,0,13号,0,1990/9/15,270,莫伊,http://p1.img.cctvpic.com/sports/data/playerImageB/104813.png,0,澳大利亚,中场
0,76kg,0,1.76m,0,8号,0,1992/9/25,0,卢恩戈,http://p1.img.cctvpic.com/sports/data/playerImageB/204300.png,0,澳大利亚,中场
0,71kg,0,1.79m,0,3号,0,1988/4/5,0,詹姆斯·梅雷迪斯,http://p1.img.cctvpic.com/sports/data/playerImageB/21397.png,0,澳大利亚,后卫
14.67,77kg,3,1.8m,0,22号,0,1993/3/7,44,杰克逊·欧文,http://p1.img.cctvpic.com/sports/data/playerImageB/181581.png,0,澳大利亚,中场
0,85kg,0,1.87m,0,2号,0,1994/4/28,0,德格内克,http://p1.img.cctvpic.com/sports/data/playerImageB/155961.png,0,澳大利亚,后卫
90,78kg,3,1.78m,0,5号,0,1985/8/4,270,米利甘,http://p1.img.cctvpic.com/sports/data/playerImageB/15454.png,0,澳大利亚,后卫
90,63kg,3,1.7m,0,16号,0,1990/12/16,270,贝西克,http://p1.img.cctvpic.com/sports/data/playerImageB/134052.png,0,澳大利亚,后卫
0,84kg,0,1.9m,0,6号,0,1989/12/8,0,祖曼,http://p1.img.cctvpic.com/sports/data/playerImageB/122380.png,0,澳大利亚,后卫
90,76kg,3,1.83m,0,20号,0,1992/1/5,270,塞恩斯伯里,http://p1.img.cctvpic.com/sports/data/playerImageB/137916.png,0,澳大利亚,后卫
0,87kg,0,1.93m,0,12号,0,1982/3/19,0,琼斯,http://p1.img.cctvpic.com/sports/data/playerImageB/819.png,0,澳大利亚,守门员
90,70kg,3,1.69m,0,19号,0,1992/7/27,270,里斯登,http://p1.img.cctvpic.com/sports/data/playerImageB/136913.png,0,澳大利亚,后卫
0,94kg,0,1.87m,0,18号,0,1985/3/27,0,武科维奇,http://p1.img.cctvpic.com/sports/data/playerImageB/24676.png,0,澳大利亚,守门员
90,82kg,3,1.84m,0,1号,0,1992/4/8,270,瑞恩,http://p1.img.cctvpic.com/sports/data/playerImageB/134029.png,0,澳大利亚,守门员
82,83kg,2,1.87m,0,7号,0,1981/3/13,164,佩雷斯,http://p1.img.cctvpic.com/sports/data/playerImageB/47032.png,0,巴拿马,前锋
15,82kg,2,1.83m,0,16号,0,1993/12/13,30,阿罗约,http://p1.img.cctvpic.com/sports/data/playerImageB/341179.png,0,巴拿马,前锋
27,72kg,1,1.81m,0,10号,0,1997/5/12,27,迪亚斯,http://p1.img.cctvpic.com/sports/data/playerImageB/270311.png,0,巴拿马,前锋
36,77kg,2,1.8m,0,9号,0,1988/10/31,72,托雷斯,http://p1.img.cctvpic.com/sports/data/playerImageB/13870.png,0,巴拿马,前锋
74,72kg,3,1.75m,0,8号,0,1993/10/23,222,巴塞纳斯,http://p1.img.cctvpic.com/sports/data/playerImageB/341199.png,0,巴拿马,中场
80.67,82kg,3,1.83m,0,20号,0,1990/2/10,242,戈多伊,http://p1.img.cctvpic.com/sports/data/playerImageB/156102.png,0,巴拿马,中场
0,80kg,0,1.89m,0,14号,0,1991/5/30,0,皮蒙特尔,http://p1.img.cctvpic.com/sports/data/playerImageB/856252.png,0,巴拿马,中场
25,87kg,2,1.83m,0,18号,0,1982/3/28,50,特哈达,http://p1.img.cctvpic.com/sports/data/playerImageB/11583.png,0,巴拿马,前锋
0,62kg,0,1.65m,0,19号,0,1987/12/18,0,金特罗,http://p1.img.cctvpic.com/sports/data/playerImageB/83951.png,0,巴拿马,中场
90,82kg,3,1.82m,0,4号,0,1995/1/9,270,埃斯科瓦尔,http://p1.img.cctvpic.com/sports/data/playerImageB/792377.png,0,巴拿马,后卫
83,82kg,3,1.83m,0,6号,0,1984/5/29,249,戈麦斯,http://p1.img.cctvpic.com/sports/data/playerImageB/12502.png,0,巴拿马,中场
81,77kg,3,1.8m,0,21号,0,1998/6/19,243,罗德里格斯,http://p1.img.cctvpic.com/sports/data/playerImageB/1004445.png,0,巴拿马,中场
90,72kg,2,1.73m,0,11号,0,1987/11/26,180,库珀,http://p1.img.cctvpic.com/sports/data/playerImageB/156098.png,0,巴拿马,中场
90,78kg,2,1.83m,0,2号,0,1996/2/11,180,穆里略,http://p1.img.cctvpic.com/sports/data/playerImageB/792373.png,0,巴拿马,后卫
90,75kg,1,1.78m,0,17号,0,1988/9/7,90,奥巴勒,http://p1.img.cctvpic.com/sports/data/playerImageB/285729.png,0,巴拿马,后卫
45,92kg,1,1.83m,0,3号,0,1992/3/1,45,库明斯,http://p1.img.cctvpic.com/sports/data/playerImageB/156100.png,0,巴拿马,后卫
90,78kg,1,1.82m,0,13号,0,1985/2/14,90,马查多,http://p1.img.cctvpic.com/sports/data/playerImageB/156097.png,0,巴拿马,后卫
78.67,99kg,3,1.88m,0,5号,0,1986/3/20,236,托雷斯,http://p1.img.cctvpic.com/sports/data/playerImageB/11573.png,0,巴拿马,后卫
90,81kg,2,1.8m,0,15号,0,1991/3/31,180,达维斯,http://p1.img.cctvpic.com/sports/data/playerImageB/159935.png,0,巴拿马,后卫
0,83kg,0,1.97m,0,22号,0,1990/8/5,0,罗德里格斯,http://p1.img.cctvpic.com/sports/data/playerImageB/252765.png,0,巴拿马,守门员
21,87kg,1,1.85m,1,23号,1,1981/2/24,21,巴洛伊,http://p1.img.cctvpic.com/sports/data/playerImageB/11570.png,0,巴拿马,后卫
90,70kg,3,1.83m,0,1号,0,1981/9/26,270,佩内多,http://p1.img.cctvpic.com/sports/data/playerImageB/11566.png,0,巴拿马,守门员
0,87kg,0,1.87m,0,12号,0,1985/8/14,0,卡尔德龙,http://p1.img.cctvpic.com/sports/data/playerImageB/11577.png,0,巴拿马,守门员
38.5,70kg,2,1.82m,1,7号,0,1990/9/14,77,道格拉斯·科斯塔,http://p1.img.cctvpic.com/sports/data/playerImageB/47908.png,0,巴西,前锋
81.4,73kg,5,1.75m,1,9号,0,1997/4/3,407,热苏斯,http://p1.img.cctvpic.com/sports/data/playerImageB/835751.png,0,巴西,前锋
0,64kg,0,1.72m,0,21号,0,1988/1/13,0,泰森,http://p1.img.cctvpic.com/sports/data/playerImageB/39661.png,0,巴西,前锋
20.5,76kg,4,1.81m,0,20号,1,1991/10/2,82,菲尔米诺,http://p1.img.cctvpic.com/sports/data/playerImageB/143697.png,0,巴西,前锋
16.67,86kg,3,1.86m,0,8号,1,1988/2/8,50,奥古斯托,http://p1.img.cctvpic.com/sports/data/playerImageB/34152.png,0,巴西,中场
72,77kg,5,1.75m,1,19号,0,1988/8/9,360,威廉,http://p1.img.cctvpic.com/sports/data/playerImageB/31417.png,0,巴西,中场
38.5,67kg,4,1.79m,0,17号,0,1985/5/4,154,费尔南迪尼奥,http://p1.img.cctvpic.com/sports/data/playerImageB/13630.png,0,巴西,中场
82.5,84kg,4,1.85m,0,5号,0,1992/2/23,330,卡塞米罗,http://p1.img.cctvpic.com/sports/data/playerImageB/122951.png,0,巴西,中场
85,73kg,2,1.82m,0,6号,0,1985/8/9,170,菲利佩·路易斯,http://p1.img.cctvpic.com/sports/data/playerImageB/26029.png,0,巴西,后卫
87.2,68kg,5,1.72m,2,11号,2,1992/6/12,436,库蒂尼奥,http://p1.img.cctvpic.com/sports/data/playerImageB/119159.png,0,巴西,中场
70.8,81kg,5,1.81m,0,15号,1,1988/7/25,354,保利尼奥,http://p1.img.cctvpic.com/sports/data/playerImageB/115183.png,0,巴西,中场
90,79kg,5,1.83m,0,2号,1,1984/9/22,450,席尔瓦,http://p1.img.cctvpic.com/sports/data/playerImageB/33541.png,0,巴西,后卫
0,64kg,0,1.69m,0,18号,0,1993/3/5,0,弗雷德,http://p1.img.cctvpic.com/sports/data/playerImageB/243623.png,0,巴西,中场
0,75kg,0,1.83m,0,13号,0,1994/5/14,0,马奎尼奥斯,http://p1.img.cctvpic.com/sports/data/playerImageB/155995.png,0,巴西,后卫
70,80kg,4,1.74m,0,12号,0,1988/5/12,280,马塞洛,http://p1.img.cctvpic.com/sports/data/playerImageB/17787.png,0,巴西,后卫
90,78kg,1,1.84m,0,14号,0,1991/7/15,90,达尼洛,http://p1.img.cctvpic.com/sports/data/playerImageB/124992.png,0,巴西,后卫
0,92kg,0,1.95m,0,16号,0,1987/6/6,0,拉莫斯,http://p1.img.cctvpic.com/sports/data/playerImageB/27756.png,0,巴西,守门员
90,67kg,4,1.68m,0,22号,0,1989/6/11,360,法格纳,http://p1.img.cctvpic.com/sports/data/playerImageB/25554.png,0,巴西,后卫
0,84kg,0,1.9m,0,4号,0,1985/9/21,0,杰罗梅尔,http://p1.img.cctvpic.com/sports/data/playerImageB/13338.png,0,巴西,后卫
90,78kg,5,1.86m,0,3号,0,1984/9/7,450,米兰达,http://p1.img.cctvpic.com/sports/data/playerImageB/13017.png,0,巴西,后卫
90,91kg,5,1.93m,0,1号,0,1992/10/2,450,埃里森,http://p1.img.cctvpic.com/sports/data/playerImageB/243609.png,0,巴西,守门员
0,86kg,0,1.88m,0,23号,0,1993/8/17,0,埃德森,http://p1.img.cctvpic.com/sports/data/playerImageB/254491.png,0,巴西,守门员
90,68公斤,5,1.75米,1,10号,2,1992年2月5日,450,内马尔,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527831600461_13.jpg,1,巴西,前锋
65.4,85kg,5,1.87m,1,22号,1,1989/8/2,327,沙德利,http://p1.img.cctvpic.com/sports/data/playerImageB/32492.png,0,比利时,中场
0,70kg,0,1.83m,0,4号,0,1985/8/5,0,希曼,http://p1.img.cctvpic.com/sports/data/playerImageB/6135.png,0,比利时,后卫
75.2,85kg,5,1.9m,0,4号,0,1986/4/10,376,孔帕尼,http://p1.img.cctvpic.com/sports/data/playerImageB/6019.png,0,比利时,后卫
90,81kg,6,1.86m,1,2号,0,1989/3/2,540,阿尔德韦雷尔德,http://p1.img.cctvpic.com/sports/data/playerImageB/44575.png,0,比利时,后卫
63.2,85kg,5,1.94m,0,8号,1,1987/11/22,316,费莱尼,http://p1.img.cctvpic.com/sports/data/playerImageB/21764.png,0,比利时,中场
44,80kg,3,1.83m,0,3号,0,1985/11/14,132,维尔马伦,http://ps1.img.cctvpic.com/sports/data/playerImageB/1954.png,0,比利时,后卫
79.33,94kg,6,1.9m,1,9号,4,1993/5/13,476,卢卡库,http://p1.img.cctvpic.com/sports/data/playerImageB/78893.png,0,比利时,前锋
86,75kg,1,1.8m,0,18号,1,1995/2/5,86,亚努扎伊,http://p1.img.cctvpic.com/sports/data/playerImageB/328145.png,0,比利时,前锋
49.67,61kg,6,1.69m,1,14号,1,1987/5/6,298,默滕斯,http://p1.img.cctvpic.com/sports/data/playerImageB/32493.png,0,比利时,前锋
86.33,74kg,6,1.73m,2,10号,3,1991/1/7,518,阿扎尔,http://p1.img.cctvpic.com/sports/data/playerImageB/27583.png,0,比利时,前锋
56,78kg,2,1.85m,0,21号,1,1993/10/2,112,巴楚瓦伊,http://p1.img.cctvpic.com/sports/data/playerImageB/147745.png,0,比利时,前锋
44.25,82kg,4,1.85m,0,19号,0,1987/7/16,177,登贝莱,http://p1.img.cctvpic.com/sports/data/playerImageB/9865.png,0,比利时,中场
48.5,70kg,2,1.74m,0,16号,0,1993/3/29,97,小阿扎尔,http://p1.img.cctvpic.com/sports/data/playerImageB/94286.png,0,比利时,中场
90,73kg,6,1.86m,0,6号,0,1989/1/12,540,维特塞尔,http://p1.img.cctvpic.com/sports/data/playerImageB/35612.png,0,比利时,中场
44,72kg,4,1.76m,2,17号,0,1997/5/7,176,蒂耶勒曼,http://p1.img.cctvpic.com/sports/data/playerImageB/331737.png,0,比利时,中场
90,76kg,1,1.88m,0,23号,0,1995/4/15,90,当东克尔,http://p1.img.cctvpic.com/sports/data/playerImageB/190405.png,0,比利时,后卫
90,86kg,6,1.89m,0,5号,1,1987/4/24,540,费尔通亨,http://p1.img.cctvpic.com/sports/data/playerImageB/16921.png,0,比利时,后卫
90,88kg,5,1.9m,2,15号,1,1991/9/12,450,默尼耶,http://p1.img.cctvpic.com/sports/data/playerImageB/128587.png,0,比利时,后卫
90,84kg,3,1.88m,0,20号,0,1990/11/28,270,博亚塔,http://p1.img.cctvpic.com/sports/data/playerImageB/103928.png,0,比利时,后卫
0,86kg,0,1.97m,0,13号,0,1992/6/25,0,卡斯特尔斯,http://p1.img.cctvpic.com/sports/data/playerImageB/70987.png,0,比利时,守门员
90,91kg,7,1.99m,0,1号,0,1992/5/11,630,库尔图瓦,http://p1.img.cctvpic.com/sports/data/playerImageB/70988.png,0,比利时,守门员
59.75,67kg,4,1.8m,0,11号,0,1993/9/4,239,卡拉斯科,http://p1.img.cctvpic.com/sports/data/playerImageB/182001.png,0,比利时,中场
0,87kg,0,1.93m,0,12号,0,1988/3/6,0,米尼奥莱,http://p1.img.cctvpic.com/sports/data/playerImageB/10406.png,0,比利时,守门员
90,70公斤,6,1.81米,2,7号,1,1991年6月28日,540,德布劳内,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/1/1527839316506_49.jpg,1,比利时,中场
71,89kg,1,1.89m,0,22号,0,1992/5/25,71,伯兹瓦尔松,http://p1.img.cctvpic.com/sports/data/playerImageB/66721.png,0,冰岛,前锋
13.33,85kg,3,1.87m,0,9号,0,1991/2/26,40,西古达森,http://p1.img.cctvpic.com/sports/data/playerImageB/48611.png,0,冰岛,前锋
0,73kg,0,1.83m,0,21号,0,1993/4/30,0,特勒伊斯塔松,http://p1.img.cctvpic.com/sports/data/playerImageB/94796.png,0,冰岛,中场
88,79kg,3,1.85m,0,11号,1,1989/2/1,264,芬博加松,http://p1.img.cctvpic.com/sports/data/playerImageB/64344.png,0,冰岛,前锋
76.5,77kg,2,1.79m,0,7号,0,1990/10/27,153,格维兹门松,http://p1.img.cctvpic.com/sports/data/playerImageB/49805.png,0,冰岛,中场
0,78kg,0,1.85m,0,3号,0,1996/2/22,0,弗里德约森,http://p1.img.cctvpic.com/sports/data/playerImageB/358204.png,0,冰岛,中场
5,80kg,1,1.77m,0,4号,0,1997/6/15,5,古德蒙德森,http://p1.img.cctvpic.com/sports/data/playerImageB/236298.png,0,冰岛,中场
90,86kg,2,1.86m,0,20号,0,1984/6/29,180,哈尔弗雷兹松,http://p1.img.cctvpic.com/sports/data/playerImageB/15046.png,0,冰岛,中场
84.33,86kg,3,1.81m,0,17号,0,1989/4/22,253,古恩纳尔松,http://p1.img.cctvpic.com/sports/data/playerImageB/30441.png,0,冰岛,中场
0,79kg,0,1.84m,0,16号,0,1983/4/1,0,斯库拉松,http://p1.img.cctvpic.com/sports/data/playerImageB/19739.png,0,冰岛,中场
90,77kg,3,1.83m,0,8号,0,1988/5/27,270,比亚尔纳松,http://p1.img.cctvpic.com/sports/data/playerImageB/13270.png,0,冰岛,中场
90,82kg,3,1.86m,0,10号,1,1989/9/8,270,西于尔兹松,http://p1.img.cctvpic.com/sports/data/playerImageB/43192.png,0,冰岛,中场
58.5,78kg,2,1.84m,0,19号,0,1988/2/25,117,吉斯拉松,http://p1.img.cctvpic.com/sports/data/playerImageB/13059.png,0,冰岛,中场
8.5,63kg,2,1.7m,0,23号,0,1987/5/14,17,斯库拉松,http://p1.img.cctvpic.com/sports/data/playerImageB/17083.png,0,冰岛,后卫
57.5,80kg,2,1.88m,0,5号,0,1993/8/5,115,因加松,http://p1.img.cctvpic.com/sports/data/playerImageB/120970.png,0,冰岛,后卫
90,85kg,3,1.91m,0,18号,0,1993/2/11,270,马格努松,http://p1.img.cctvpic.com/sports/data/playerImageB/94770.png,0,冰岛,后卫
90,82kg,2,1.91m,0,14号,0,1982/10/13,180,阿尔纳松,http://p1.img.cctvpic.com/sports/data/playerImageB/7149.png,0,冰岛,后卫
0,81kg,0,1.88m,0,15号,0,1990/8/6,0,埃约尔夫松,http://p1.img.cctvpic.com/sports/data/playerImageB/87501.png,0,冰岛,后卫
90,75kg,3,1.86m,0,2号,0,1984/11/11,270,塞瓦尔松,http://p1.img.cctvpic.com/sports/data/playerImageB/25685.png,0,冰岛,后卫
75,86kg,3,1.87m,0,6号,0,1986/6/19,225,西于尔兹松,http://p1.img.cctvpic.com/sports/data/playerImageB/22071.png,0,冰岛,后卫
90,88kg,3,1.93m,0,1号,0,1984/4/27,270,哈尔多松,http://p1.img.cctvpic.com/sports/data/playerImageB/64478.png,0,冰岛,守门员
0,92kg,0,1.98m,0,12号,0,1995/1/19,0,阿斯特施拉姆,http://p1.img.cctvpic.com/sports/data/playerImageB/286931.png,0,冰岛,守门员
0,76kg,0,1.86m,0,13号,0,1995/2/18,0,鲁纳尔松,http://p1.img.cctvpic.com/sports/data/playerImageB/187023.png,0,冰岛,守门员
14.5,78kg,2,1.85m,0,14号,0,1991/6/3,29,特奥多切克,http://p1.img.cctvpic.com/sports/data/playerImageB/133735.png,0,波兰,前锋
73,81kg,1,1.86m,0,7号,0,1994/2/28,73,米利克,http://p1.img.cctvpic.com/sports/data/playerImageB/161325.png,0,波兰,前锋
37,75kg,2,1.85m,0,23号,0,1997/3/14,74,科夫纳茨基,http://p1.img.cctvpic.com/sports/data/playerImageB/286103.png,0,波兰,前锋
90,83kg,3,1.86m,0,10号,1,1990/1/29,270,克里霍维亚克,http://p1.img.cctvpic.com/sports/data/playerImageB/76227.png,0,波兰,中场
90,73kg,2,1.73m,0,13号,0,1989/8/19,180,雷布斯,http://p1.img.cctvpic.com/sports/data/playerImageB/44987.png,0,波兰,中场
80,73kg,1,1.82m,1,21号,0,1993/1/29,80,库尔扎瓦,http://p1.img.cctvpic.com/sports/data/playerImageB/338363.png,0,波兰,中场
10,68kg,1,1.73m,0,17号,0,1985/2/19,10,佩什科,http://p1.img.cctvpic.com/sports/data/playerImageB/41330.png,0,波兰,中场
90,78kg,1,1.89m,0,3号,0,1987/11/4,90,延杰伊奇克,http://p1.img.cctvpic.com/sports/data/playerImageB/54429.png,0,波兰,后卫
90,66kg,2,1.72m,0,6号,0,1992/9/21,180,戈拉尔斯基,http://p1.img.cctvpic.com/sports/data/playerImageB/177179.png,0,波兰,中场
86.33,64kg,3,1.77m,0,19号,0,1994/5/20,259,杰林斯基,http://p1.img.cctvpic.com/sports/data/playerImageB/138605.png,0,波兰,中场
50,80kg,2,1.9m,0,15号,0,1988/2/3,100,格利克,http://p1.img.cctvpic.com/sports/data/playerImageB/45362.png,0,波兰,后卫
45,71kg,1,1.75m,0,16号,0,1985/12/14,45,库巴,http://p1.img.cctvpic.com/sports/data/playerImageB/18379.png,0,波兰,中场
0,73kg,0,1.76m,0,8号,0,1995/2/2,0,利内蒂,http://p1.img.cctvpic.com/sports/data/playerImageB/189135.png,0,波兰,中场
